Date Coord-System Altitude Latitude Longitude D_deg D_min I_deg I_min H_nT X_nT Y_nT Z_nT F_nT dD_min dI_min dH_nT dX_nT dY_nT dZ_nT dF_nT
2024.0 M M1610.0 -6 145     4d 36m   -27d 46m   36393.7  36276.2   2923.0 -19155.5  41127.1    -2.7      -5.4        -12.9    -10.6    -29.7    -65.7     19.2
2024.0 M M7.0 -5 145     4d 27m   -25d 55m   36562.7  36452.8   2832.9 -17767.0  40651.0    -2.8      -5.5        -11.1     -8.7    -30.5    -67.4     19.5
2024.0 M M1643.0 -5 144     4d 11m   -26d  2m   36611.2  36513.7   2670.3 -17877.6  40742.9    -3.1      -5.3        -10.3     -7.8    -33.8    -65.2     19.4
2024.0 M M73.0 -6 146     4d 52m   -27d 38m   36350.7  36219.6   3084.3 -19032.0  41031.5    -2.4      -5.5        -13.7    -11.5    -26.5    -67.6     19.2
2024.0 M M45.0 -9 147     5d 36m   -32d 49m   35759.8  35588.8   3493.0 -23059.0  42549.7    -1.8      -5.1        -19.3    -17.4    -20.9    -63.3     18.0
2024.0 M M6.0 -3 143     3d 35m   -22d 20m   36958.2  36885.8   2311.6 -15179.5  39954.0    -3.6      -5.4         -5.6     -3.2    -38.8    -65.2     19.6
2024.0 M M10.0 67 53    23d 45m    79d 16m   10591.2   9694.7   4264.6  55833.7  56829.4    10.2       2.8        -32.8    -42.7     15.6     72.2     64.9
2024.0 M M0.0 76 -18   -12d 43m    81d 37m    7941.9   7747.2  -1747.9  53914.9  54496.7    27.9       0.7         -5.2      9.1     64.0     36.6     35.5
2024.0 M M2.0 74 -20   -13d 46m    80d 43m    8740.2   8488.8  -2080.8  53515.4  54224.5    25.8       0.4         -1.1     14.6     63.9     34.6     34.0
2024.0 M M173.0 0 -0    -4d  1m   -30d 17m   27582.1  27514.3  -1931.9 -16107.5  31941.0     9.8      -2.6        -10.4     -4.8     79.1    -21.9      2.1
2024.0 M M34.0 69 -51   -27d 52m    80d 36m    9054.8   8005.0  -4231.9  54694.6  55439.0    28.2      -1.1         19.4     51.9     56.6      4.1      7.3
2024.0 M M51.0 67 -50   -26d  6m    79d 28m   10095.2   9065.5  -4441.8  54300.0  55230.4    25.3      -1.5         24.0     54.3     56.2      0.4      4.8
2024.0 M M34.0 65 -37   -19d 42m    76d 58m   12137.6  11427.3  -4091.1  52422.8  53809.6    20.9      -1.3         22.1     45.7     61.9      8.2     13.0
2024.0 M M23.0 0 -0    -4d  1m   -30d 17m   27584.2  27516.5  -1932.0 -16109.5  31943.8     9.8      -2.6        -10.4     -4.8     79.1    -21.9      2.1
2024.0 M M35.0 61 -45   -20d 40m    75d 19m   13659.5  12780.4  -4821.2  52136.2  53895.9    18.8      -2.3         33.9     58.1     57.9    -11.1     -2.1
2024.0 M M14.0 70 -22   -13d 58m    78d 46m   10445.1  10136.1  -2522.2  52630.2  53656.7    22.3      -0.0          6.7     22.8     64.0     29.7     30.4
2024.0 M M87.0 64 -51   -24d 20m    77d 56m   11506.2  10484.3  -4740.4  53824.5  55040.6    22.1      -2.0         31.5     59.3     54.5     -8.8     -2.1
2024.0 M M0.0 68 -51   -27d  8m    80d  6m    9519.5   8471.6  -4342.0  54563.3  55387.5    26.8      -1.3         22.0     53.5     56.1      1.8      5.6
2024.0 M M7.0 65 -37   -19d 42m    76d 58m   12137.7  11427.4  -4091.2  52423.4  53810.2    20.9      -1.3         22.1     45.7     61.9      8.2     13.0
2024.0 M M77.0 76 -68   -37d 44m    85d  8m    4788.0   3786.4  -2930.5  56146.5  56350.2    54.4      -0.7         11.4     55.4     52.9      1.3      2.3
2024.0 M M2.0 65 -18   -10d  3m    75d 48m   12887.9  12690.2  -2248.7  50959.8  52564.3    18.3      -0.3         12.1     23.9     65.4     26.6     28.8
2024.0 M M24.0 65 -14    -7d 54m    75d 42m   12950.5  12827.8  -1778.4  50793.2  52418.2    17.8      -0.1          9.9     19.0     65.1     30.3     31.8
